0,1
värre saker kunde hända än att vara strandsatt mitt ute i ingenstans under ett regnoväder,worse things could happen than being stranded in the middle of nowhere during a rainstorm
jag kunde vara på flyende fot från en vildsint björn som ville sarga mig ända in i nästa århundrade,I could be on the run from a rabid bear that wanted to maul me right into the next century
eller så kunde jag sitta fastbunden i en stol i en mörk källare och bli tvingad att lyssna på aquas barbie girl om och om igen tills jag hellre gnagde av mig armen än hörde refrängen igen,or I could be tied to a chair in a dark basement and forced to listen to aqua's barbie girl over and over until I'd rather gnaw my arm off than hear the chorus again
men bara för att saker kunde bli värre betydde det inte att det inte var illa nu,but just because things could get worse didn't mean it wasn't bad now
sluta,stop
tänk positivt,think positive
en bil kommer att dyka upp  nu,a car will appear now
 jag stirrade på min telefon och bet ihop i ren frustration när appen försäkrade mig om att den hittade min bil precis som den hade gjort den senaste halvtimmen,i stared at my phone and bit my teeth in pure frustration as the app assured me it found my car just like it had for the last half hour
normalt sett skulle jag inte vara så stressad över det hela eftersom jag åtminstone hade en fungerande telefon och en busskur som mestadels skyddade mig från det piskande regnet,normally I wouldn't be too stressed about it all since at least I had a working phone and a bus shelter that mostly protected me from the whipping rain
men joshs hejdåfest skulle börja om en timme jag hade ännu inte hämtat överraskningstårtan från bageriet och det skulle snart bli mörkt,but josh's going away party was starting in an hour i still hadn't picked up the surprise cake from the bakery and it was getting dark soon
jag må vara en glaset är halvfullttjej men jag var inte dum,I may be a glass is half full girl but I wasn't stupid
ingen  särskilt inte en collegetjej med noll självförsvarskunskaper värda att nämnas  vill vara ensam mitt ute i ingenstans efter mörkrets inbrott,no one especially not a college girl with zero self defense skills worth mentioning wants to be alone in the middle of nowhere after dark
jag borde ha tagit självförsvarskurser med jules som hon hade sagt,i should have taken self defense classes with jules she had said
jag skrollade mentalt igenom mina begränsade alternativ,I mentally scrolled through my limited options
bussen som stannade här gick inte på helgerna och de flesta av mina vänner hade inte bil,the bus that stopped here didn't run on weekends and most of my friends didn't have a car
bridget hade bilservice men hon var på ett evenemang på ambassaden fram till sju,bridget had car service but she was at an event at the embassy until seven
min rideshareapp fungerade inte och jag hade inte sett en enda bil köra förbi sedan det börjat regna,my rideshare app wasn't working and I hadn't seen a single car drive by since it started raining
inte för att jag skulle lifta i alla fall  jag har sett min beskärda del av skräckfilmer tackar så mycket,not that i would hitchhike anyway i have seen my fair share of horror movies thank you very much
jag hade bara ett alternativ kvar  ett som jag verkligen inte ville använda mig av  men har man inga andra alternativ så  jag hittade kontakten i telefonen bad en stilla bön och tryckte på samtalsknappen,I only had one option left one that I really didn't want to use but you have no other options so I found the contact in the phone said a silent prayer and pressed the call button
en ringsignal,a ringtone
två ringsignaler,two ringtones
tre,three
kom igen svara,come on answer
eller inte,or not
jag var inte säker på vad som var värst  att bli mördad eller möta min bror,i wasn't sure what was worse being murdered or facing my brother
naturligtvis fanns det alltid en chans att min bror skulle mörda mig ändå för att ha försatt mig i en sådan här situation men det kunde jag ta itu med senare,of course there was always a chance my brother would kill me anyway for putting me in this situation but i could deal with that later
vad har hänt jag rynkade på näsan åt hans hälsning,what happened I wrinkled my nose at his greeting
hej på dig med käraste bror,hello to you with dearest brother
vad får dig att tro att något är fel josh fnös,what makes you think something is wrong josh snorted
öh du ringde mig,uh you called me
du ringer aldrig såvida du inte är illa ute,you never call unless you're in a bad mood
 det var sant,it was true
