0,1
worse,värre
things,saker
could,kunde
happen,hända
than,än
to,att
be,vara
stranded,strandsatt
my,mitt
out,ute
in,i
nowhere,ingenstans
during,under
one,ett
rainy weather,regnoväder
I,jag
on,på
fugitive,flyende
Foot,fot
from,från
one,en
wild,vildsint
bear,björn
as,som
wanted,ville
sarga,sarga
me,mig
end,ända
in,in
Next,nästa
century,århundrade
or,eller
so,så
sit,sitta
tied down,fastbunden
chair,stol
dark,mörk
basement,källare
and,och
Become,bli
forced,tvingad
listen,lyssna
aquas,aquas
barbie,barbie
girl,girl
if,om
again,igen
until,tills
rather,hellre
gnawed,gnagde
of,av
the arm,armen
heard,hörde
the chorus,refrängen
but,men
only,bara
for,för
meant,betydde
the,det
not,inte
where,var
badly,illa
now,nu
stop,sluta
think,tänk
positively,positivt
car,bil
comes,kommer
dive,dyka
up,upp
…,…
stared,stirrade
my,min
phone,telefon
bit,bet
Together,ihop
clean,ren
frustration,frustration
when,när
the app,appen
insured,försäkrade
the,den
found,hittade
just,precis
had,hade
done,gjort
latest,senaste
the half hour,halvtimmen
normally,normalt
seen,sett
would,skulle
stressed,stressad
over,över
whole,hela
since,eftersom
at least,åtminstone
functioning,fungerande
bus shelter,busskur
mostly,mestadels
protected,skyddade
whipping,piskande
the rain,regnet
josh,joshs
farewell party,hejdåfest
start,börja
